행정동,주민등록인구
중앙동,"4,329"
효동,"24,284"
신인동,"14,701"
판암1동,"12,160"
판암2동,"8,301"
용운동,"21,774"
대동,"14,332"
자양동,"10,790"
가양1동,"13,203"
가양2동,"18,151"
용전동,"20,335"
성남동,"11,385"
홍도동,"10,829"
삼성동,"13,747"
대청동,"2,375"
산내동,"20,193"
은행선화동,"15,315"
목동,"15,869"
중촌동,"13,967"
대흥동,"13,506"
문창동,"4,520"
석교동,"15,363"
대사동,"5,459"
부사동,"6,683"
용두동,"9,283"
오류동,"10,560"
태평1동,"13,125"
태평2동,"25,154"
유천1동,"6,263"
유천2동,"13,560"
문화1동,"21,766"
문화2동,"12,384"
산성동,"26,935"
복수동,"22,162"
도마1동,"14,901"
도마2동,"17,264"
정림동,"15,908"
변동,"15,873"
용문동,"12,222"
탄방동,"26,774"
괴정동,"19,061"
가장동,"11,141"
내동,"23,403"
갈마1동,"21,558"
갈마2동,"24,562"
월평1동,"11,327"
월평2동,"14,314"
월평3동,"20,846"
가수원동,"10,899"
도안동,"35,877"
관저1동,"15,290"
관저2동,"49,167"
기성동,"3,635"
둔산1동,"16,554"
둔산2동,"35,139"
만년동,"12,645"
둔산3동,"19,465"
진잠동,"25,149"
학하동,"17,218"
상대동,"25,008"
온천1동,"26,733"
온천2동,"39,614"
노은1동,"21,555"
노은2동,"24,027"
노은3동,"36,923"
신성동,"25,977"
전민동,"26,854"
구즉동,"28,418"
관평동,"28,421"
원신흥동,"27,254"
오정동,"14,318"
대화동,"6,812"
회덕동,"12,011"
비래동,"15,983"
송촌동,"26,751"
중리동,"19,365"
신탄진동,"14,583"
석봉동,"16,213"
덕암동,"13,496"
목상동,"6,369"
법1동,"12,930"
법2동,"15,612"
